Designator,Footprint,Quantity,Part,Value,Digikey Part Number,Unit Price
"C1, C4, C6, C8-C10",CP_0805,6,Tantalum Capacitor,1uF,718-2496-1-ND,$0.21
"C2, C3, C5, C7",C_0805,4,Ceramic Capacitor,0.01uF,490-8607-1-ND,$0.01
D1-D3,LED_0805,3,LED,Green,732-4983-1-ND,$0.19
D4,D_SOD-323,1,Zener Diode,5.1V,MM3Z5V1ST1GOSCT-ND,$0.14
J1,AMP_640445-4,1,Header,,A1972-ND,$0.27
J2,AMP_640445-3,1,Header,,A19890-ND,$0.26
J3,AMP_640454-2,1,Header,,A19423-ND,$0.15
J1 Mate,,1,Connector,,A24113-ND,$0.25
J2 Mate,,1,Connector,,A24112-ND,$0.20
J3 Mate,,1,Connector,,A30978-ND,$0.19
"J1, J2 Mate Pins",,7,Contact,,A31396-ND,$0.35
J3 Mate Pins,,2,Contact,,A100453CT-ND,$0.10
P1-P10,EDAC_346-100-520-202,10,Edge Connector,,EDC346102-ND,$15.48
Q1,TO-220-3_Horizontal,1,Transistor,TIP29,TIP29CGOS-ND,$1.11
Q2,SOT-23-3,1,Transistor,BC858,BC858BLT3GOSCT-ND,$0.11
Q3,TO-220-3_Horizontal,1,Transistor,TIP30,TIP30CGOS-ND,$0.61
Q4,SOT-23-3,1,Transistor,BC848,BC848BLT3GOSCT-ND,$0.13
"Q1, Q3 Mount Kit",,2,Mount Kit,,4880MG-ND,$3.20
"R1, R2",R_0805,2,Resistor,3.0K,RMCF0805JT3K00CT-ND,$0.02
R8-R10,R_0805,3,Resistor,1.5K,RMCF0805JT1K50CT-ND,$0.02
"R11, R15",R_0805,2,Resistor,1.0K,RMCF0805FT1K00CT-ND,$0.02
"R12, R14",R_0805,2,Resistor,910,738-RMCF0805FT910RCT-ND,$0.02
"R4-R7, R13, R16",R_0805,6,Resistor,560,RMCF0805FT560RCT-ND,$0.02
R3,R_0805,1,Resistor,1.2K,RMCF0805JT1K20CT-ND,$0.02
RN1-RN32,R_Array_Convex_4x1206,32,Resistor Array,560,CAY16-561J4LFCT-ND,$0.04
RV1,Bourns_TC33,1,Potentiometer,2.0K,TC33X-202ECT-ND ,$0.28
U1,SOT-23-5,1,Operational Amplifier,LM7301,488-LM7301SN1T1GCT-ND,$0.76